No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2016","해양수산부","교통시설특별회계","부산항 신항만 개발","2,312",0,60,365,383,479,"1,577","1,596","1,649","1,746","1,750","1,774","1,940"
"2","2016","해양수산부","교통시설특별회계","새만금신항 개발",518,1,118,118,137,145,167,191,206,206,206,212,258
"3","2016","해양수산부","교통시설특별회계","여수광양항만공사 지원",508,0,0,200,400,400,454,454,454,454,454,454,493
"4","2016","해양수산부","교통시설특별회계","울산신항 개발","1,593",447,476,498,532,604,706,963,"1,006","1,059","1,200","1,326","1,509"
"5","2016","해양수산부","교통시설특별회계","인천북항 개발",644,24,35,140,168,203,282,294,301,308,319,322,632
"6","2016","해양수산부","교통시설특별회계","인천신항 개발",816,1,236,264,264,264,266,470,471,471,561,663,737
"7","2016","해양수산부","교통시설특별회계","일반항 건설","3,728",75,219,416,540,658,"1,233","1,490","1,674","1,866","2,010","2,108","2,793"
"8","2016","해양수산부","교통시설특별회계","주요항 건설","2,142",10,140,416,603,697,894,994,"1,101","1,180","1,244","1,328","1,612"
"9","2016","해양수산부","교통시설특별회계","평택당진항 개발",566,15,104,152,160,180,190,223,227,255,258,291,385
"10","2016","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",554,3,66,127,164,203,291,299,350,378,392,431,511
"11","2016","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,926",26,87,185,277,381,551,608,694,815,905,"1,042","1,396"
"12","2016","해양수산부","농어촌구조개선특별회계","수산자원조성",926,68,163,640,640,647,649,821,881,883,956,957,994
"13","2016","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","2,762",73,240,434,548,709,939,"1,019","1,261","1,612","1,785","1,909","2,375"
"14","2016","해양수산부","농어촌구조개선특별회계","재해대책","1,368",83,95,642,"1,003","1,003","1,003","1,007","1,074","1,074","1,363","1,367","1,367"
"15","2016","해양수산부","농어촌구조개선특별회계","친환경어업(농특)",754,2,6,213,466,487,516,542,559,589,606,631,665
"16","2016","해양수산부","일반회계","어업질서 확립",793,26,111,157,213,285,337,409,481,517,611,653,739
"17","2016","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)","1,023",492,"1,023","1,023","1,023","1,023","1,023","1,023","1,023","1,023","1,023","1,023","1,023"
"18","2016","해양수산부","일반회계","연안환경관리(일반)",717,0,64,172,240,276,367,383,416,462,489,536,744
"19","2016","해양수산부","일반회계","한국해양과학기술원 운영지원","1,857",785,785,785,"1,034","1,125","1,125","1,536","1,536","1,536","1,857","1,857","1,857"
"20","2016","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)","1,347",121,157,239,304,329,390,453,511,514,551,610,666
"21","2016","해양수산부","일반회계","해양지형조사 및 정보제공",872,17,68,298,360,412,468,499,529,543,566,607,795
"22","2016","해양수산부","지역발전특별회계","어업기반정비","1,957",468,468,468,668,718,"1,043","1,135","1,135","1,485","1,684","1,753","1,758"
"23","2016","해양수산부","지역발전특별회계","일반항 건설(제주도)",652,0,0,652,652,652,652,652,652,652,652,652,652
"24","2016","해양수산부","지역발전특별회계","해양 및 수자원 관리",629,0,84,260,260,302,336,365,410,510,549,629,629
"25","2016","해양수산부","수산발전기금","수산물가격안정(기금·융자)","2,401",0,102,509,701,980,"1,138","1,194","1,380","1,572","1,691","1,910","2,098"
"26","2016","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,430",41,55,593,654,671,884,894,965,"1,128","1,148","1,172","1,381"
"27","2016","해양수산부","수산발전기금","어업경영자금(기금)","1,113",0,340,355,385,705,714,716,720,736,728,730,733
