No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2015","해양수산부","교통시설특별회계","부산항 신항만 개발","1,454",4,76,148,645,680,801,825,834,"1,015","1,019","1,019","1,419"
"2","2015","해양수산부","교통시설특별회계","새만금신항 개발",589,0,79,213,218,238,295,345,365,416,454,473,533
"3","2015","해양수산부","교통시설특별회계","여수광양항만공사 지원",500,38,38,500,500,500,500,500,500,500,500,500,500
"4","2015","해양수산부","교통시설특별회계","인천신항 개발",693,0,39,116,161,262,268,271,271,275,275,299,298
"5","2015","해양수산부","교통시설특별회계","일반항 건설","3,260",66,122,313,484,786,981,"1,080","1,220","1,483","1,553","1,734","2,026"
"6","2015","해양수산부","교통시설특별회계","주요항 건설","2,279",13,339,458,882,974,"1,280","1,345","1,364","1,471","1,566","1,625","1,826"
"7","2015","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",662,0,39,106,148,162,284,301,320,348,365,386,486
"8","2015","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,687",1,80,187,265,327,552,625,724,862,903,963,"1,294"
"9","2015","해양수산부","농어촌구조개선특별회계","수산금융자금이차보전","1,027",99,216,263,304,402,445,485,526,526,526,526,541
"10","2015","해양수산부","농어촌구조개선특별회계","수산물유통개선(농특)","1,023",0,282,282,284,511,525,752,754,754,869,871,917
"11","2015","해양수산부","농어촌구조개선특별회계","수산자원조성",805,168,209,209,460,495,642,648,650,651,663,677,720
"12","2015","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","2,345",0,34,325,481,571,863,901,951,"1,090","1,208","1,350","1,923"
"13","2015","해양수산부","농어촌구조개선특별회계","재해대책","1,485",459,696,702,"1,047","1,048","1,056","1,429","1,429","1,430","1,436","1,442","1,444"
"14","2015","해양수산부","농어촌구조개선특별회계","친환경어업(농특)",716,2,43,259,416,430,456,483,494,507,518,551,614
"15","2015","해양수산부","일반회계","어업질서 확립",713,113,183,226,324,355,379,452,463,498,577,600,676
"16","2015","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)","1,268",0,749,"1,268","1,268","1,268","1,268","1,268","1,268","1,268","1,268","1,268","1,268"
"17","2015","해양수산부","일반회계","연안환경관리(일반)",838,0,72,244,288,336,450,490,503,554,573,631,763
"18","2015","해양수산부","일반회계","울산신항 개발","1,032",59,62,324,406,529,557,570,585,667,770,813,955
"19","2015","해양수산부","일반회계","한국해양과학기술원 운영지원","1,786",394,394,394,831,831,831,"1,292","1,292","1,292","1,778","1,786","1,786"
"20","2015","해양수산부","일반회계","해양지형조사 및 정보제공",950,19,44,233,388,449,502,558,583,605,614,639,877
"21","2015","해양수산부","지역발전특별회계","어업기반정비","2,005",0,520,"1,087","1,237","1,237","1,437","1,537","1,537","1,537","1,537","1,537","1,537"
"22","2015","해양수산부","지역발전특별회계","일반항 건설(제주도)",595,0,0,325,595,595,595,595,595,595,595,595,595
"23","2015","해양수산부","수산발전기금","수산물가격안정(기금)",857,0,0,37,243,249,407,419,537,808,857,857,811
"24","2015","해양수산부","수산발전기금","수산물가격안정(기금·융자)","1,952",0,0,406,915,"1,038","1,366","1,366","1,470","1,566","1,587","1,656","1,725"
"25","2015","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,525",70,95,616,812,830,"1,027","1,028","1,033","1,133","1,136","1,148","1,169"
"26","2015","해양수산부","수산발전기금","어업경영자금(기금)",755,0,0,520,554,554,654,654,654,704,704,705,717
