No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2019","해양수산부","교통시설특별회계","그린포트 구축","1,475",37,104,213,297,396,608,657,719,787,838,922,"1,078"
"2","2019","해양수산부","교통시설특별회계","부산항 신항만 개발","1,529",132,138,643,743,745,"1,363","1,369","1,370","1,487","1,503","1,611","1,623"
"3","2019","해양수산부","교통시설특별회계","울산신항 개발","1,164",13,55,130,500,509,838,838,862,873,895,938,958
"4","2019","해양수산부","교통시설특별회계","일반항 건설","4,208",381,672,"1,053","1,320","1,576","2,297","2,402","2,508","2,932","3,083","3,250","3,433"
"5","2019","해양수산부","교통시설특별회계","주요항 건설",698,108,178,203,263,295,487,491,503,549,586,618,640
"6","2019","해양수산부","교통시설특별회계","평택당진항 개발",514,33,43,75,104,135,287,306,316,343,352,382,437
"7","2019","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",609,11,60,124,179,219,382,386,407,445,463,499,562
"8","2019","해양수산부","교통시설특별회계","항만시설유지보수(교특)","2,044",98,168,244,346,466,700,745,807,925,981,"1,076","1,272"
"9","2019","해양수산부","국가균형발전특별회계","어업기반정비","1,231",0,150,550,650,737,807,827,910,"1,047","1,166","1,186","1,267"
"10","2019","해양수산부","국가균형발전특별회계","해양 및 수자원 관리",649,0,156,282,295,311,341,446,498,498,615,626,664
"11","2019","해양수산부","농어촌구조개선특별회계","수산금융자금이차보전","1,035",168,243,311,386,458,532,602,674,743,808,875,"1,026"
"12","2019","해양수산부","농어촌구조개선특별회계","수산자원조성",819,124,543,552,556,559,565,571,573,806,809,812,818
"13","2019","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","4,619",914,"1,386","1,580","1,696","2,151","3,218","3,241","3,272","3,609","3,804","3,863","4,453"
"14","2019","해양수산부","농어촌구조개선특별회계","재해대책","1,473",0,516,516,957,957,957,"1,472","1,472","1,472","1,472","1,472","1,473"
"15","2019","해양수산부","농어촌구조개선특별회계","친환경양식육성(농특)",824,1,10,172,403,462,577,677,697,722,740,753,793
"16","2019","해양수산부","일반회계","어업안전지도강화",871,20,186,276,375,398,485,550,578,614,777,816,875
"17","2019","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)",682,0,347,682,682,682,682,682,682,682,682,682,682
"18","2019","해양수산부","일반회계","연안환경관리(일반)",781,142,158,207,219,253,379,390,433,479,531,624,774
"19","2019","해양수산부","일반회계","한국해양과학기술원 운영지원","1,516",453,453,453,971,971,971,"1,346","1,346","1,346","1,513","1,513","1,515"
"20","2019","해양수산부","일반회계","해양문화활성화",890,231,313,318,376,395,586,598,616,648,667,671,852
"21","2019","해양수산부","일반회계","해양지형조사 및 정보제공",779,44,96,270,318,347,442,447,462,483,492,532,734
"22","2019","해양수산부","일반회계","해운물류지원","1,213",2,37,155,"1,010","1,056","1,079","1,094","1,113","1,143","1,163","1,179","1,219"
"23","2019","해양수산부","일반회계","해운인력양성 지원",558,200,200,200,352,389,389,512,512,512,558,558,558
"24","2019","해양수산부","수산발전기금","수산물가격안정(기금·융자)",782,0,0,95,226,306,407,422,474,560,598,648,782
"25","2019","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,259",1,43,311,441,450,567,571,580,"1,042","1,097","1,177","1,291"
"26","2019","해양수산부","수산발전기금","품목별경쟁력강화","1,181",0,0,187,377,509,568,688,785,801,915,"1,157","1,275"
