항목,2013. 12,,,,,,,2013. 11,,,,,,,2013. 10,,,,,,,2013. 09,,,,,,,2013. 08,,,,,,,2013. 07,,,,,,,2013. 06,,,,,,,2013. 05,,,,,,,2013. 04,,,,,,,2013. 03,,,,,,,2013. 02,,,,,,,2013. 01,,,,,,,2012. 12,,,,,,,2012. 11,,,,,,,2012. 10,,,,,,,2012. 09,,,,,,,2012. 08,,,,,,,2012. 07,,,,,,,2012. 06,,,,,,,2012. 05,,,,,,,2012. 04,,,,,,,2012. 03,,,,,,,2012. 02,,,,,,,2012. 01,,,,,,,2011. 12,,,,,,,2011. 11,,,,,,,2011. 10,,,,,,,2011. 09,,,,,,,2011. 08,,,,,,,2011. 07,,,,,,,2011. 06,,,,,,,2011. 05,,,,,,,2011. 04,,,,,,,2011. 03,,,,,,,2011. 02,,,,,,,2011. 01,,,,,,,2010. 12,,,,,,,2010. 11,,,,,,,2010. 10,,,,,,,2010. 09,,,,,,,2010. 08,,,,,,,2010. 07,,,,,,,2010. 06,,,,,,,2010. 05,,,,,,,2010. 04,,,,,,,2010. 03,,,,,,,2010. 02,,,,,,,2010. 01,,,,,,,2009. 12,,,,,,,2009. 11,,,,,,,2009. 10,,,,,,,2009. 09,,,,,,,2009. 08,,,,,,,2009. 07,,,,,,,2009. 06,,,,,,,2009. 05,,,,,,,2009. 04,,,,,,,2009. 03,,,,,,,2009. 02,,,,,,,2009. 01,,,,,,
,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,,합계,,,,,,
,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생,472,"4,616","5,219","6,505",106,"1,656","10,986",415,"4,702","5,367","6,962",115,"1,988","11,825",669,"5,690","6,016","6,762",166,"2,099","13,933",547,"5,602","5,603","6,126",139,"1,693","11,458",615,"5,650","5,796","6,345",120,"1,764","12,460",649,"5,830","6,366","7,115",146,"1,930","13,251",619,"5,871","5,740","6,133",142,"1,640","11,791",558,"5,203","5,834","7,029",133,"1,662","12,097",546,"4,915","5,363","6,499",125,"1,748","11,376",444,"4,266","4,936","5,829",129,"1,495","9,452",346,"4,382","4,192","4,900",115,"1,259","7,644",396,"4,858","4,990","6,336",126,"1,631","10,359",392,"5,404","5,281","5,811",137,"1,600","9,773",465,"5,606","5,563","6,707",137,"1,746","11,640",536,"6,129","6,553","5,999",229,"1,776","12,500",553,"5,333","5,984","5,659",177,"1,791","11,103",604,"6,273","6,523","6,176",165,"1,902","11,376",662,"6,275","6,772","6,463",216,"1,871","11,464",590,"5,490","6,344","5,860",149,"1,766","11,164",597,"5,376","6,424","6,083",150,"1,634","11,111",480,"4,597","5,853","5,991",144,"1,421","9,985",395,"3,811","5,419","5,900",142,"1,404","8,572",381,"3,340","4,681","5,834",153,"1,208","9,094",368,"3,695","5,226","5,755",143,"1,226","9,252",466,"4,041","5,735","6,473",171,"1,419","10,403",506,"4,142","6,076","6,181",183,"1,529","11,417",531,"4,325","6,097","5,917",183,"1,461","12,150",554,"4,312","6,044","5,753",166,"1,578","11,107",683,"4,669","6,732","6,023",180,"1,445","12,550",724,"4,593","7,328","6,107",248,"1,475","11,479",633,"4,346","6,151","6,358",265,"1,465","12,376",645,"4,325","6,156","5,888",244,"1,303","12,073",522,"4,038","5,377","6,174",233,"1,251","11,674",694,"7,317","6,205","6,547",212,"1,375","11,823",497,"4,387","4,873","4,464",139,"1,006","8,411",450,"3,799","5,270","5,367",153,"1,177","9,758",589,"4,891","6,118","5,898",149,"1,328","11,363",542,"4,725","6,018","5,352",133,"1,235","10,927",626,"4,829","6,103","6,040",177,"1,369","11,806",650,"4,574","6,160","5,211",183,"1,283","9,856",644,"5,014","6,330","5,318",175,"1,280","11,189",602,"4,693","5,909","5,639",175,"1,217","10,900",597,"4,744","6,071","5,717",157,"1,182","12,128",633,"4,950","6,017","5,199",229,"1,333","12,908",564,"3,719","5,474","5,706",237,"1,378","13,839",513,"3,252","5,515","6,308",306,"1,371","13,983",369,"2,218","4,300","4,871",221,"1,010","10,049",299,"1,773","4,783","5,109",315,"1,073","10,549",312,"2,386","5,528","6,295",296,"1,333","13,458",360,"2,974","5,613","6,133",357,"1,323","13,772",407,"3,457","5,626","6,082",353,"1,495","14,011",394,"4,399","6,117","6,347",465,"1,450","15,032",401,"3,324","5,544","5,865",470,"1,312","15,579",425,"4,122","6,870","6,458",691,"1,577","18,349",431,"3,397","7,459","6,802",742,"1,805","22,114",555,"3,767","7,049","6,124","1,216","1,637","20,526",344,"2,664","6,531","6,100",633,"1,432","18,710",349,"2,913","6,532","6,207",454,"1,340","17,360",233,"1,871","5,119","5,005",278,"1,099","13,245",284,"1,901","5,081","4,844",248,"1,061","13,208"
