No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2018","해양수산부","교통시설특별회계","그린포트 구축",941,44,118,192,250,288,413,457,506,570,636,734,914
"2","2018","해양수산부","교통시설특별회계","부산항 신항만 개발","1,717",6,129,630,684,713,965,966,974,"1,121","1,165","1,247","1,612"
"3","2018","해양수산부","교통시설특별회계","새만금신항 개발",525,2,10,10,18,18,73,176,176,224,224,228,431
"4","2018","해양수산부","교통시설특별회계","울산신항 개발","1,393",296,304,325,338,348,647,674,711,738,723,752,892
"5","2018","해양수산부","교통시설특별회계","인천북항 개발",553,0,68,78,78,78,174,175,175,199,203,203,577
"6","2018","해양수산부","교통시설특별회계","일반항 건설","4,534",272,639,"1,038","1,221","1,636","2,029","2,217","2,367","2,653","2,848","3,160","4,100"
"7","2018","해양수산부","교통시설특별회계","주요항 건설",871,178,187,247,285,308,415,447,498,600,677,723,852
"8","2018","해양수산부","교통시설특별회계","평택당진항 개발",509,6,25,34,45,78,154,170,183,205,254,296,444
"9","2018","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",602,16,86,144,183,230,334,349,371,404,433,458,543
"10","2018","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,858",10,61,97,141,206,387,447,533,606,701,825,"1,197"
"11","2018","해양수산부","농어촌구조개선특별회계","수산금융자금이차보전",824,55,133,204,204,360,440,518,599,679,754,754,824
"12","2018","해양수산부","농어촌구조개선특별회계","수산자원조성",782,155,516,517,520,528,534,755,757,770,774,776,778
"13","2018","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","2,657",167,512,821,898,988,"1,203","1,329","1,394","1,604","1,703","1,837","2,545"
"14","2018","해양수산부","농어촌구조개선특별회계","재해대책","1,479",297,546,547,667,"1,083","1,083","1,177","1,478","1,478","1,478","1,478","1,479"
"15","2018","해양수산부","농어촌구조개선특별회계","친환경어업(농특)",682,1,6,322,349,380,447,479,491,500,508,587,645
"16","2018","해양수산부","일반회계","어업질서 확립",528,9,66,114,160,230,255,323,363,398,452,471,532
"17","2018","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)",789,646,646,744,744,754,754,754,789,789,789,789,789
"18","2018","해양수산부","일반회계","연안환경관리(일반)",737,42,73,125,167,203,264,298,323,382,428,508,746
"19","2018","해양수산부","일반회계","한국해양과학기술원 운영지원","1,512",292,292,567,567,"1,131","1,131","1,132","1,355","1,355","1,512","1,512","1,512"
"20","2018","해양수산부","일반회계","해양정책 및 문화기반조성",793,64,67,125,144,205,323,417,487,498,545,579,730
"21","2018","해양수산부","일반회계","해양지형조사 및 정보제공",783,27,74,112,290,334,468,480,492,507,525,570,750
"22","2018","해양수산부","일반회계","해운물류지원","1,992",0,323,396,418,440,465,"1,781","1,817","1,949","1,972","1,996","2,055"
"23","2018","해양수산부","지역발전특별회계","어업기반정비","1,205",0,255,603,603,603,768,834,834,"1,092","1,092","1,261","1,261"
"24","2018","해양수산부","지역발전특별회계","해양 및 수자원 관리",715,0,44,243,272,431,631,631,715,715,715,716,720
"25","2018","해양수산부","수산발전기금","수산물가격안정(기금·융자)",869,0,0,131,282,439,477,502,545,686,772,795,865
"26","2018","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,300",2,58,321,453,480,602,612,630,976,"1,014","1,025","1,300"
"27","2018","해양수산부","수산발전기금","품목별경쟁력강화","1,354",0,0,217,449,571,626,726,886,925,"1,024","1,236","1,330"
