자치구별(2),2022
종로구,1313
중구,1365
용산구,978
성동구,979
광진구,1670
동대문구,1556
중랑구,1508
성북구,1143
강북구,872
도봉구,969
노원구,1504
은평구,1497
서대문구,1114
마포구,1451
양천구,1474
강서구,1991
구로구,1565
금천구,1118
영등포구,2062
동작구,1195
관악구,1966
서초구,1921
강남구,2495
송파구,2201
강동구,1672
