No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2023","해양수산부","교통시설특별회계","그린포트 구축","1,111",150,181,387,440,522,0,0,0,0,0,0,0
"2","2023","해양수산부","교통시설특별회계","신항만 개발","8,407",211,"1,209","3,642","3,852","3,957",0,0,0,0,0,0,0
"3","2023","해양수산부","교통시설특별회계","일반항 건설","1,498",34,165,296,347,431,0,0,0,0,0,0,0
"4","2023","해양수산부","교통시설특별회계","주요항 건설","1,314",25,118,269,293,321,0,0,0,0,0,0,0
"5","2023","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",548,13,94,243,262,305,0,0,0,0,0,0,0
"6","2023","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,443",78,267,422,463,529,0,0,0,0,0,0,0
"7","2023","해양수산부","교통시설특별회계","해양안전기술개발(R&D)",709,144,210,479,689,709,0,0,0,0,0,0,0
"8","2023","해양수산부","농어촌구조개선특별회계","수산어촌알리기",660,140,295,368,370,417,0,0,0,0,0,0,0
"9","2023","해양수산부","농어촌구조개선특별회계","수산연구개발",512,47,326,462,462,486,0,0,0,0,0,0,0
"10","2023","해양수산부","농어촌구조개선특별회계","수산자원조성",874,90,393,501,505,697,0,0,0,0,0,0,0
"11","2023","해양수산부","농어촌구조개선특별회계","어가소득보전",928,4,5,74,179,187,0,0,0,0,0,0,0
"12","2023","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","3,518",55,614,"1,124","1,499","1,704",0,0,0,0,0,0,0
"13","2023","해양수산부","농어촌구조개선특별회계","연근해어업구조조정","1,351",3,484,494,499,500,0,0,0,0,0,0,0
"14","2023","해양수산부","농어촌구조개선특별회계","재해대책","1,632",161,"1,152","1,152","1,153","1,153",0,0,0,0,0,0,0
"15","2023","해양수산부","농어촌구조개선특별회계","친환경양식육성(농특)","1,484",1,281,546,760,"1,064",0,0,0,0,0,0,0
"16","2023","해양수산부","일반회계","어업안전지도강화","2,044",435,811,"1,087","1,134","1,157",0,0,0,0,0,0,0
"17","2023","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)",702,34,651,676,693,702,0,0,0,0,0,0,0
"18","2023","해양수산부","일반회계","연안환경관리(일반)",654,40,62,167,187,226,0,0,0,0,0,0,0
"19","2023","해양수산부","일반회계","한국해양과학기술원 운영지원","1,582",0,339,505,885,942,0,0,0,0,0,0,0
"20","2023","해양수산부","일반회계","해양관광육성",579,0,0,245,245,269,0,0,0,0,0,0,0
"21","2023","해양수산부","일반회계","해양문화활성화",957,31,212,340,425,456,0,0,0,0,0,0,0
"22","2023","해양수산부","일반회계","해양생태계 보전 및 복원",579,0,103,256,389,416,0,0,0,0,0,0,0
"23","2023","해양수산부","일반회계","해양수산산업진흥(R&D)",646,9,411,604,636,646,0,0,0,0,0,0,0
"24","2023","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)","1,057",346,471,523,546,615,0,0,0,0,0,0,0
"25","2023","해양수산부","일반회계","해양지형조사 및 정보제공","1,103",19,99,368,443,734,0,0,0,0,0,0,0
"26","2023","해양수산부","일반회계","해운물류지원",535,28,65,171,250,267,0,0,0,0,0,0,0
"27","2023","해양수산부","일반회계","해운인력양성 지원",543,85,171,198,363,421,0,0,0,0,0,0,0
"28","2023","해양수산부","지역균형발전특별회계","어항기반시설조성","3,309",0,815,842,842,941,0,0,0,0,0,0,0
"29","2023","해양수산부","지역균형발전특별회계","해양 및 수자원 관리",545,0,451,470,470,470,0,0,0,0,0,0,0
"30","2023","해양수산부","수산발전기금","수산물가격안정(기금·융자)","1,154",0,0,137,257,323,0,0,0,0,0,0,0
"31","2023","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,187",0,40,634,692,705,0,0,0,0,0,0,0
"32","2023","해양수산부","수산발전기금","품목별경쟁력강화","1,324",0,0,232,482,653,0,0,0,0,0,0,0
"33","2023","해양수산부","수산발전기금","해양환경개선(기금)",539,0,122,234,287,287,0,0,0,0,0,0,0
