No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2021","해양수산부","교통시설특별회계","광양항 개발",594,18,209,258,271,272,338,338,346,368,369,371,0
"2","2021","해양수산부","교통시설특별회계","그린포트 구축","1,604",248,530,567,654,762,997,"1,019","1,068","1,231","1,349","1,451",0
"3","2021","해양수산부","교통시설특별회계","동해신항 개발","1,456",0,538,571,602,710,946,968,985,"1,038","1,106","1,167",0
"4","2021","해양수산부","교통시설특별회계","부산항 신항만 개발",976,57,288,357,399,437,577,577,585,624,651,723,0
"5","2021","해양수산부","교통시설특별회계","새만금신항 개발",758,16,111,122,305,305,433,435,437,521,564,564,0
"6","2021","해양수산부","교통시설특별회계","울산신항 개발","1,867",412,499,597,780,884,979,"1,085","1,166","1,225","1,324","1,395",0
"7","2021","해양수산부","교통시설특별회계","인천신항 개발","1,114",7,537,625,625,625,735,735,735,786,787,800,0
"8","2021","해양수산부","교통시설특별회계","일반항 건설","1,766",194,363,501,647,736,961,987,"1,133","1,251","1,267","1,310",0
"9","2021","해양수산부","교통시설특별회계","평택당진항 개발",531,69,80,211,214,232,321,321,320,345,346,353,0
"10","2021","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",607,38,93,238,262,284,397,405,417,432,448,491,0
"11","2021","해양수산부","교통시설특별회계","항만 재개발",874,412,412,468,477,503,551,555,570,616,620,639,0
"12","2021","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,203",130,241,394,478,605,795,811,840,907,939,981,0
"13","2021","해양수산부","국가균형발전특별회계","지방이양항만","1,598",0,0,84,470,961,"1,538","1,598","1,598","1,598","1,598","1,598",0
"14","2021","해양수산부","국가균형발전특별회계","해양 및 수자원 관리",501,200,350,374,413,437,501,501,501,501,501,501,0
"15","2021","해양수산부","농어촌구조개선특별회계","수산연구개발",534,330,361,398,473,534,534,534,534,534,534,534,0
"16","2021","해양수산부","농어촌구조개선특별회계","수산자원조성",707,468,473,487,493,499,506,601,602,692,693,698,0
"17","2021","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","8,381","2,756","3,312","3,687","3,836","6,370","7,018","7,116","7,179","7,400","7,428","7,524",0
"18","2021","해양수산부","농어촌구조개선특별회계","연근해어업구조조정","1,271",67,67,115,115,315,695,696,696,843,958,"1,008",0
"19","2021","해양수산부","농어촌구조개선특별회계","재해대책","1,490",677,677,679,"1,135","1,135","1,135","1,312","1,489","1,489","1,489","1,490",0
"20","2021","해양수산부","농어촌구조개선특별회계","친환경양식육성(농특)",888,13,96,488,609,616,738,777,812,821,847,869,0
"21","2021","해양수산부","에너지및자원사업특별회계","연안선사 유류비 지원",765,0,0,14,49,51,78,84,105,125,140,161,0
"22","2021","해양수산부","일반회계","어업안전지도강화","1,323",12,230,285,324,353,411,444,466,716,869,902,0
"23","2021","해양수산부","일반회계","연안환경관리(일반)",512,78,160,222,255,276,313,327,341,378,397,416,0
"24","2021","해양수산부","일반회계","한국해양과학기술원 운영지원","1,489",133,296,480,"1,257","1,257","1,257","1,294","1,370","1,396","1,396","1,453",0
"25","2021","해양수산부","일반회계","해양문화활성화",661,151,153,195,233,258,331,345,348,433,457,474,0
"26","2021","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)",753,57,197,276,445,470,481,533,608,666,685,701,0
"27","2021","해양수산부","일반회계","해양지형조사 및 정보제공",823,41,73,283,462,486,556,575,594,615,618,641,0
"28","2021","해양수산부","일반회계","해운물류지원","1,256",27,63,126,206,525,771,798,816,858,879,"1,146",0
"29","2021","해양수산부","수산발전기금","수산물가격안정(기금·융자)","1,414",0,0,114,486,563,"1,225","1,237","1,490","1,746","1,814","1,890",0
"30","2021","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,278",0,45,669,751,774,959,964,985,"1,014","1,023","1,123",0
"31","2021","해양수산부","수산발전기금","해양환경개선(기금)",559,240,325,325,362,372,441,501,502,502,538,538,0
