경찰서 명,년월일,신고수 ,평균기온,최저기온,최저기온시각,최고기온,최고기온시각 ,일강수량,최대순간풍속,최대순간풍속시각,평균풍속,최대순산풍속방향
서울강남경찰서,2021-01-01,200,-3.6,-9,538,2.2,1416,0,6.4,2250,1.1,329.1
서울강동경찰서,2021-01-01,163,-4.4,-10,610,0.9,1429,0,5.5,1622,1,247.5
서울강북경찰서,2021-01-01,130,-3.9,-9.1,554,0.8,1505,0,7.8,2358,1.5,312.2
서울강서경찰서,2021-01-01,292,-3.8,-9.9,517,0.6,1412,0,5.1,1450,1.3,289.7
서울광진경찰서,2021-01-01,178,-3.8,-8.8,507,0.7,1348,0,5.6,1627,1.3,278.4
서울구로경찰서,2021-01-01,195,-3.4,-9.4,447,1.9,1446,0,6.3,1530,1.4,75.9
서울금천경찰서,2021-01-01,129,-3.1,-7.7,509,1,1401,0,4.7,1404,1.2,182.8
서울노원경찰서,2021-01-01,204,-5.8,-13.8,307,1.3,1457,0,5.2,2324,0.9,261.6
서울도봉경찰서,2021-01-01,125,-5.3,-11.7,512,2.8,1446,0,8.4,1534,1,247.5
서울동작경찰서,2021-01-01,129,-3.9,-9.9,524.5,1.7,1373,0,5.7,1966.5,0.9,306.7
서울마포경찰서,2021-01-01,216,-3.8,-8.7,208,1.1,1427,0,7.7,1534,2.1,281.3
서울서대문경찰서,2021-01-01,141,-4.5,-10.3,154,0.7,1311,0,6.4,2355,1.3,323.9
서울서부경찰서,2021-01-01,68,-6.7,-13.9,257,0.5,1414,0,4.1,1434,0.5,261.6
서울서초경찰서,2021-01-01,121,-3.6,-10.2,542,1.4,1428,0,5,1556,1.1,312.2
서울성동경찰서,2021-01-01,101,-2.7,-6.9,523,1.5,1437,0,6.7,2239,1.6,326.3
서울성북경찰서,2021-01-01,77,-5.7,-10.8,530,0.1,1421,0,8.2,1557,1.2,261.6
서울송파경찰서,2021-01-01,227,-2.8,-7.9,550,1,1335,0,5.9,1616,1.5,317.8
서울수서경찰서,2021-01-01,142,-3.6,-9,538,2.2,1416,0,6.4,2250,1.1,329.1
서울영등포경찰서,2021-01-01,225,-2.9,-7.5,347,1.3,1464,0,4.8,1829,1.3,322.1
서울은평경찰서,2021-01-01,113,-3.4,-8.5,602,1.7,1431,0,6.5,1614,1.3,300.9
서울은평경찰서,2021-01-01,113,-6.7,-13.9,257,0.5,1414,0,4.1,1434,0.5,261.6
서울은평경찰서,2021-01-01,113,-4.7,-11.2,488.5,1.2,1341,0,4.9,1342.5,1.2,225
서울종암경찰서,2021-01-01,94,-5.7,-10.8,530,0.1,1421,0,8.2,1557,1.2,261.6
서울중랑경찰서,2021-01-01,216,-3.6,-8.9,802,0.9,1437,0,6.5,1614,1.5,230.6
서울중부경찰서,2021-01-01,73,-5.1,-9.8,34,-0.2,1330,0,7.1,2310,1.9,318.2
서울강남경찰서,2021-01-02,190,-3.8,-6.6,752,-0.3,1425,0,6.9,1544,1.7,334.7
서울강동경찰서,2021-01-02,175,-4.2,-7.3,755,-0.5,1424,0,5.9,1343,1.4,227.8
서울강북경찰서,2021-01-02,140,-4.3,-7.3,752,-1.4,1351,0,10,1323,2.4,315
서울강서경찰서,2021-01-02,260,-4.5,-7.6,816,-1.1,1539,0,6.4,1430,2.3,315
서울광진경찰서,2021-01-02,217,-4.2,-6.6,552,-0.7,1408,0,8.2,1421,2,340.3
서울구로경찰서,2021-01-02,194,-4.2,-7.9,805,0,1506,0,8.2,1350,2.4,118.1
서울금천경찰서,2021-01-02,125,-3.9,-6.3,751,-0.4,1427,0,5.8,1559,1.8,323.4
서울노원경찰서,2021-01-02,209,-5.1,-12.5,704,-1,1237,0,8.2,1711,1.5,272.8
서울도봉경찰서,2021-01-02,130,-5.4,-10.3,801,0,1518,0,8.4,1334,1.5,19.7
서울동작경찰서,2021-01-02,127,-4.3,-8.6,803.5,-0.2,1433.5,0,6.2,1472.5,1.5,268.7
서울마포경찰서,2021-01-02,194,-5,-8,736,-0.8,1440,0,10.2,1415,3.3,300.9
서울서대문경찰서,2021-01-02,134,-5.8,-9.4,733,-1,1414,0,9,1451,1.9,311.7
서울서부경찰서,2021-01-02,73,-8,-13.1,740,-1.7,1544,0,5.8,1413,0.7,298.1
서울서초경찰서,2021-01-02,165,-4,-7.2,830,-1.1,1426,0,6.2,1443,1.9,315
서울성동경찰서,2021-01-02,106,-3.4,-5.7,754,-0.6,1357,0,10,1439,2.5,348.8
서울성북경찰서,2021-01-02,61,-5.9,-9.9,749,-1,1345,0,9.2,1350,1.9,340.3
서울송파경찰서,2021-01-02,296,-3.6,-5.9,746,-0.4,1415,0,7.8,1429,2.3,306.6
서울수서경찰서,2021-01-02,141,-3.8,-6.6,752,-0.3,1425,0,6.9,1544,1.7,334.7
서울영등포경찰서,2021-01-02,246,-4.1,-6.6,737.5,-1,1492,0,6.1,1904.5,2.1,284.1
서울은평경찰서,2021-01-02,117,-3.8,-6.4,744,-0.5,1344,0,10.4,2314,2.5,348.8
서울은평경찰서,2021-01-02,117,-8,-13.1,740,-1.7,1544,0,5.8,1413,0.7,298.1
서울은평경찰서,2021-01-02,117,-5.2,-10,769,-0.5,1437,0,7.6,1340.5,1.4,196.9
서울종암경찰서,2021-01-02,91,-5.9,-9.9,749,-1,1345,0,9.2,1350,1.9,340.3
서울중랑경찰서,2021-01-02,297,-3.8,-6.7,806,-1,1355,0,8,1436,2.5,345.8
서울중부경찰서,2021-01-02,69,-6.3,-8.6,829,-3.2,1624,0,10.2,2336,2.9,314.5
서울강남경찰서,2021-01-03,201,-4.4,-8.8,750,-0.7,1304,0,6.2,1210,1.4,250.3
서울강동경찰서,2021-01-03,182,-5.1,-9.9,749,-0.9,1341,0,5.9,1233,1,244.7
서울강북경찰서,2021-01-03,162,-4.8,-7.7,726,-1.1,1338,0,9.9,1302,1.6,14.1
서울강서경찰서,2021-01-03,224,-5.7,-10.2,740,-1.9,1330,0,5.5,1209,1.5,309.4
서울광진경찰서,2021-01-03,177,-4.3,-8.4,751,-0.9,1339,0,5.8,1224,1.5,247.5
서울구로경찰서,2021-01-03,155,-5,-9.1,652,-0.3,1332,0,6.3,1151,1.4,64.7
서울금천경찰서,2021-01-03,106,-4.1,-7.1,750,-1,1302,0,6.5,6,1.3,309.4
서울노원경찰서,2021-01-03,162,-6.8,-13.8,736,-1.1,1228,0,6.8,1706,1.3,331.9
서울도봉경찰서,2021-01-03,84,-6.4,-10.9,656,-1.1,1204,0,7.1,1215,1.1,295.3
서울동작경찰서,2021-01-03,128,-5.3,-9.8,603,-0.8,1309.5,0,6,103,1,156.2
서울마포경찰서,2021-01-03,175,-5.3,-8.4,453,-1.3,1353,0,7.7,1406,2.6,317.8
서울서대문경찰서,2021-01-03,100,-6.2,-10.1,546,-2.2,1333,0,7.1,1449,1.4,311.6
서울서부경찰서,2021-01-03,89,-8.9,-14.1,708,-2.2,1558,0,4.6,1255,0.6,261.6
서울서초경찰서,2021-01-03,100,-5,-9.4,559,-1.1,1322,0,7.3,15,1.7,303.8
서울성동경찰서,2021-01-03,90,-3.5,-6.4,430,-0.8,1331,0,8.8,5,1.7,264.4
서울성북경찰서,2021-01-03,96,-6.3,-10.1,525,-2.2,1232,0,7.8,1403,1.3,306.6
서울송파경찰서,2021-01-03,256,-3.7,-7.2,812,-0.3,1312,0,6.3,1,1.7,295.3
서울수서경찰서,2021-01-03,155,-4.4,-8.8,750,-0.7,1304,0,6.2,1210,1.4,250.3
서울영등포경찰서,2021-01-03,197,-4.1,-6.9,437,-1.4,1363.5,0,6,4,1.7,247.5
서울용산경찰서,2021-01-03,102,-4.9,-8.8,736,-1.7,1347,0,7.7,1416,1.3,331.9
서울은평경찰서,2021-01-03,90,-3.9,-7.5,826,-0.6,1559,0,7.9,1217,1.6,264.4
서울은평경찰서,2021-01-03,90,-8.9,-14.1,708,-2.2,1558,0,4.6,1255,0.6,261.6
서울은평경찰서,2021-01-03,90,-5.9,-10.4,440,-0.6,1318,0,6.3,644,1.5,174.4
서울종암경찰서,2021-01-03,46,-6.3,-10.1,525,-2.2,1232,0,7.8,1403,1.3,306.6
서울중랑경찰서,2021-01-03,233,-4.2,-8.3,814,-1,1412,0,6.3,1234,1.5,244.6
서울중부경찰서,2021-01-03,60,-6.5,-9.5,346,-3,1351,0,8.3,1445,2.5,316.8
서울강남경찰서,2021-01-04,238,-2.8,-8.1,416,0.9,1325,0,4,2354,0.8,81.6
서울강동경찰서,2021-01-04,194,-3.8,-9.1,612,0.1,1515,0,5.7,2334,1.1,357.2
서울강북경찰서,2021-01-04,188,-3.6,-8.8,808,0,1513,0,8.9,2340,1.3,357.2
서울강서경찰서,2021-01-04,242,-3.6,-9.6,603,0.4,1506,0,5.2,2335,1.1,22.5
서울광진경찰서,2021-01-04,189,-3.2,-8.1,710,0.6,1523,0,4.1,2259,1.1,25.3
서울구로경찰서,2021-01-04,192,-2.7,-8.1,702,1.7,1303,0,6,2357,1.6,354.4
서울금천경찰서,2021-01-04,123,-2.4,-6.3,735,0.7,1336,0,4,35,1.3,343.1
서울노원경찰서,2021-01-04,200,-5.6,-13.3,438,0.1,1515,0,5,2340,0.8,64.7
서울도봉경찰서,2021-01-04,112,-4.5,-11.2,739,1.7,1421,0,5.9,2317,0.8,42.2
서울동작경찰서,2021-01-04,121,-3.1,-8.7,598.5,1,1525.5,0,4.9,1280,1,26.7
서울마포경찰서,2021-01-04,249,-2.9,-6.9,452,0.5,1257,0,6.4,2229,2,326.3
서울서대문경찰서,2021-01-04,179,-3.9,-8.5,438,0.2,1516,0,5.4,651,1.1,61.4
서울서부경찰서,2021-01-04,76,-5.6,-13.2,436,0.2,1347,0,4.5,2348,0.6,14.1
서울서초경찰서,2021-01-04,197,-3.2,-9,359,1.3,1600,0,3.9,2333,1.1,320.6
서울성동경찰서,2021-01-04,138,-2.2,-6.1,746,0.9,1543,0,7.4,2331,1.3,22.5
서울성북경찰서,2021-01-04,82,-5.1,-9.7,745,-1.6,1421,0,6.3,2316,1.2,33.8
서울송파경찰서,2021-01-04,260,-2.4,-6.9,720,1,1609,0,4.1,2303,1.1,357.2
서울수서경찰서,2021-01-04,173,-2.8,-8.1,416,0.9,1325,0,4,2354,0.8,81.6
서울영등포경찰서,2021-01-04,281,-2.4,-5.9,484.5,0.6,1524.5,0,4.6,1205,1.4,158.9
서울용산경찰서,2021-01-04,143,-3.3,-7.7,604,0.4,1558,0,5.7,0,1.5,73.1
서울은평경찰서,2021-01-04,108,-2.5,-7.5,726,1.5,1505,0,7.1,2327,1,25.3
서울은평경찰서,2021-01-04,108,-5.6,-13.2,436,0.2,1347,0,4.5,2348,0.6,14.1
서울은평경찰서,2021-01-04,108,-3.6,-9.6,672,1,1431,0,4.1,1544.5,1.2,119.5
서울종암경찰서,2021-01-04,70,-5.1,-9.7,745,-1.6,1421,0,6.3,2316,1.2,33.8
서울중랑경찰서,2021-01-04,216,-3.1,-7.5,636,0.2,1512,0,5.6,2346,1.4,47.7
서울중부경찰서,2021-01-04,95,-4.9,-8.8,703,-1.5,1548,0,6.8,2359,1.9,37.2
서울강남경찰서,2021-01-05,234,-4.2,-7.9,2352,-1.4,408,0,7.7,1049,1.9,320.6
서울강동경찰서,2021-01-05,178,-4.8,-8.7,2350,-2.4,1407,0,6.5,1135,1.5,233.4
서울강북경찰서,2021-01-05,135,-4.9,-8.7,2354,-2.4,240,0,11.3,1154,2.8,278.4
서울강서경찰서,2021-01-05,211,-5.1,-8.8,2335,-2.2,202,0,7,1048,2.8,320.6
서울광진경찰서,2021-01-05,171,-4.4,-7.8,2325,-1.6,359,0,8.1,1111,2.1,317.8
서울구로경찰서,2021-01-05,184,-4.8,-9.1,2352,-1.2,1113,0,10.9,1133,2.9,64.7
서울금천경찰서,2021-01-05,135,-4.6,-8.5,0,-1.3,1,0,6.6,1018,2.1,348.8
서울노원경찰서,2021-01-05,178,-5.9,-12.9,2357,-2.6,1235,0,8.8,1358,1.5,292.5
서울도봉경찰서,2021-01-05,102,-5.6,-11.6,0,-1.4,1445,0,9.6,1042,1.6,323.4
서울동작경찰서,2021-01-05,115,-4.7,-9.5,2350,-1.4,1,0,9,1027,1.7,306.7
서울마포경찰서,2021-01-05,196,-5.6,-9.9,2310,-2.3,140,0,11.1,1224,3.7,315
서울서대문경찰서,2021-01-05,161,-6,-11.4,2352,-2.9,233,0,9.5,1218,2.2,102.8
서울서부경찰서,2021-01-05,55,-7.4,-14.9,2355,-3.1,130,0,7,1153,1.1,295.3
서울서초경찰서,2021-01-05,200,-4.6,-8.2,2325,-1.4,1,0,8.2,1118,2.4,343.1
서울성동경찰서,2021-01-05,106,-3.7,-7.1,2342,-0.9,352,0,9.9,1045,2.4,340.3
서울성북경찰서,2021-01-05,85,-6.3,-11.2,2330,-2.7,1336,0,11.7,1158,1.9,320.6
서울송파경찰서,2021-01-05,254,-4.3,-7.4,2339,-1.3,425,0,8,1037,2.5,306.6
서울수서경찰서,2021-01-05,159,-4.2,-7.9,2352,-1.4,408,0,7.7,1049,1.9,320.6
서울영등포경찰서,2021-01-05,256,-4.7,-8.4,2332.5,-1.4,1,0,7,1087.5,2.3,270
서울용산경찰서,2021-01-05,124,-5,-9,2348,-2.1,1,0,9.2,1107,1.9,250.3
서울은평경찰서,2021-01-05,82,-4.1,-7.8,2334,-1.2,232,0,9.3,1129,2.3,5.6
서울은평경찰서,2021-01-05,82,-7.4,-14.9,2355,-3.1,130,0,7,1153,1.1,295.3
서울은평경찰서,2021-01-05,82,-5.6,-11.8,1175.5,-1.3,1,0,8.5,1036.5,1.6,26.7
서울종암경찰서,2021-01-05,80,-6.3,-11.2,2330,-2.7,1336,0,11.7,1158,1.9,320.6
서울중랑경찰서,2021-01-05,232,-4.4,-8,2347,-1.7,350,0,7.3,1135,2.6,323.3
서울중부경찰서,2021-01-05,102,-7.2,-11.2,2356,-3.8,259,0,10,1310,3.3,287.1
서울강남경찰서,2021-01-06,697,-6.3,-10.7,511,-1.7,1455,6,7.4,2337,1.3,315
서울강동경찰서,2021-01-06,240,-7.2,-12.2,720,-2.8,1511,3.5,8.5,1907,1.5,182.8
서울강북경찰서,2021-01-06,142,-6.9,-11.7,758,-2.5,1524,1,14.5,2331,2,312.2
서울강서경찰서,2021-01-06,244,-7.1,-12.5,645,-2.5,1548,0,10.2,2342,2,315
서울광진경찰서,2021-01-06,200,-6.8,-11.2,740,-2.4,1328,3,9.3,2348,1.5,326.3
서울구로경찰서,2021-01-06,258,-6.6,-11.3,623,-1.1,1510,2,13.2,2322,2.2,309.4
서울금천경찰서,2021-01-06,286,-6.6,-9.8,420,-2.2,1524,4.5,7.6,2345,1.8,284.1
서울노원경찰서,2021-01-06,240,-8.6,-16.4,645,-2.5,1545,1.5,11.5,2359,1.1,253.1
서울도봉경찰서,2021-01-06,112,-7.5,-14.3,715,0,1514,1.5,9.9,2357,1.3,261.6
서울동작경찰서,2021-01-06,302,-7.2,-12.5,584.5,-0.9,1526.5,2.5,9.1,2338,1.3,312.3
서울마포경찰서,2021-01-06,223,-7.4,,0,,0,0,,0,,
서울서대문경찰서,2021-01-06,157,-8.3,-13.1,501,-2.8,1448,1,13.6,0,1.6,302.4
서울서부경찰서,2021-01-06,80,-9.5,-17.1,750,-2.7,1541,1,8.3,2332,0.9,292.5
서울서초경찰서,2021-01-06,521,-7,-11.8,649,-2.1,1610,6.5,11.3,2340,1.6,295.3
서울성동경찰서,2021-01-06,184,-5.9,-9.1,428,-1.9,1613,2,13.6,2355,2.1,272.8
서울성북경찰서,2021-01-06,131,-8.6,-13.5,720,-3.6,1534,1,16.1,2346,1.6,312.2
서울송파경찰서,2021-01-06,422,-6.1,-10,734,-0.8,1528,3.5,8.3,2359,1.7,281.3
서울수서경찰서,2021-01-06,397,-6.3,-10.7,511,-1.7,1455,6,7.4,2337,1.3,315
서울영등포경찰서,2021-01-06,264,-6.5,-9.9,444,-2.2,1536.5,2,10.5,2348,1.7,292.6
서울용산경찰서,2021-01-06,314,-7.1,-11.3,753,-2.7,1531,2.5,12.7,2337,1.9,255.9
서울은평경찰서,2021-01-06,99,-6.1,-10.8,735,-1.6,1432,2.5,11.9,2344,1.8,2.8
서울은평경찰서,2021-01-06,99,-9.5,-17.1,750,-2.7,1541,1,8.3,2332,0.9,292.5
서울은평경찰서,2021-01-06,99,-7.9,-14.1,484.5,-2.3,1496,7.3,10.2,2341.5,1.7,196.9
서울종암경찰서,2021-01-06,73,-8.6,-13.5,720,-3.6,1534,1,16.1,2346,1.6,312.2
서울중랑경찰서,2021-01-06,239,-6.7,-11.3,714,-2.6,1536,2,8.6,2331,1.9,303.7
서울중부경찰서,2021-01-06,120,-8.8,-12.6,418,-4.1,1537,2,16.4,2345,1.9,306.7
서울강남경찰서,2021-01-07,348,-13.4,-15.7,755,-7.4,1,0,9.7,350,2.8,343.1
서울강동경찰서,2021-01-07,203,-13.7,-16,732,-7.1,1,0,7.3,14,1.6,281.3
서울강북경찰서,2021-01-07,134,-14,-16.3,828,-8,1,0,15.5,13,4.5,292.5
서울강서경찰서,2021-01-07,205,-13.9,-15.8,809,-8.6,1,0,9.9,230,3.9,337.5
서울광진경찰서,2021-01-07,149,-13.6,-15.8,838,-7.5,1,0,9.7,359,3.1,264.4
서울구로경찰서,2021-01-07,183,-13.6,-15.8,746,-8.6,1,0,13.1,100,3.7,309.4
서울금천경찰서,2021-01-07,174,-14,-16,804,-8.4,1,0,8.5,155,2.7,354.4
서울노원경찰서,2021-01-07,147,-13.9,-16.9,2342,-7.4,1,0,12.7,248,2.5,312.2
서울도봉경찰서,2021-01-07,87,-14,-16.9,747,-7.8,1,0,11.2,220,2.4,343.1
서울동작경찰서,2021-01-07,179,-14.1,-16.5,803,-8.7,1,0,9.6,68,2.4,152
서울마포경찰서,2021-01-07,164,-14.4,-16.5,803,-9.1,1,0,15.9,120,5.7,
서울서대문경찰서,2021-01-07,106,-14.9,-16.9,750,-9.4,1,0,15.2,134,3.6,333.7
서울서부경찰서,2021-01-07,81,-15.9,-18.9,2358,-9,1,0,8,309,2,298.1
서울서초경찰서,2021-01-07,285,-13.9,-15.8,812,-8.7,1,0,10.6,629,3.7,309.4
서울성동경찰서,2021-01-07,131,-12.7,-14.8,829,-7,3,0,13.3,145,3.4,317.8
서울성북경찰서,2021-01-07,91,-15,-17.5,755,-9,1,0,14.8,505,3.2,317.8
서울송파경찰서,2021-01-07,326,-13.4,-15.7,740,-7.8,1,0,10.3,149,4,292.5
서울수서경찰서,2021-01-07,271,-13.4,-15.7,755,-7.4,1,0,9.7,350,2.8,343.1
서울영등포경찰서,2021-01-07,258,-13.6,-15.5,835.5,-8.1,4,0,10.9,114,3.7,279.9
서울용산경찰서,2021-01-07,175,-14.3,-16.4,800,-8.5,1,0,10.7,208,2.5,61.9
서울은평경찰서,2021-01-07,92,-13.3,-15.8,815,-7.4,1,0,13.2,618,3.5,348.8
서울은평경찰서,2021-01-07,92,-15.9,-18.9,2358,-9,1,0,8,309,2,298.1
서울은평경찰서,2021-01-07,92,-15.3,-18.5,778,-9.1,1,0,8.7,1789,2.4,1.4
서울종암경찰서,2021-01-07,64,-15,-17.5,755,-9,1,0,14.8,505,3.2,317.8
서울중랑경찰서,2021-01-07,160,-13.5,-15.7,813,-7.1,1,0,11.9,238,3.7,331.8
서울중부경찰서,2021-01-07,91,-16,-18.5,832,-10.7,1,0,19.7,1,5.4,327.5
서울강남경찰서,2021-01-08,291,-13.7,-17,644,-9.5,1508,0,7.7,315,2.2,306.6
서울강동경찰서,2021-01-08,161,-14.2,-18.3,802,-9.1,1445,0,6.4,2023,1.6,14.1
서울강북경찰서,2021-01-08,139,-14.2,-17.7,701,-10,1457,0,11.8,1236,3,11.3
서울강서경찰서,2021-01-08,357,-14.6,-17.9,709,-10.8,1543,0,7.9,310,3.2,323.4
서울광진경찰서,2021-01-08,159,-14,-17.1,737,-10.1,1408,0,9.4,1512,2.4,343.1
서울구로경찰서,2021-01-08,230,-14,-17.5,720,-9.8,1452,0,10.9,1509,3.1,323.4
서울금천경찰서,2021-01-08,137,-14.3,-17.1,752,-10.2,1525,0,8.3,1721,2.5,357.2
서울노원경찰서,2021-01-08,156,-14.3,-21.7,812,-9.8,1501,0,7.6,455,1.9,272.8
서울도봉경찰서,2021-01-08,111,-14.7,-19.9,754,-8.6,1518,0,9,1412,1.6,281.3
서울동작경찰서,2021-01-08,145,-14.8,-18.6,820.5,-10,1530.5,0,7.9,232.5,1.9,341.8
서울마포경찰서,2021-01-08,189,-14.8,-18.8,750,-10.4,1337,0,11.9,1345,4.4,323.4
서울서대문경찰서,2021-01-08,136,-15.4,-19.1,753,-10.9,1446,0,11.6,1514,2.7,309.1
서울서부경찰서,2021-01-08,92,-17.1,-22.6,802,-11.1,1509,0,6.4,1537,1.1,289.7
서울서초경찰서,2021-01-08,223,-14.3,-17.2,653,-10.7,1612,0,8.5,2120,2.9,323.4
서울성동경찰서,2021-01-08,157,-13,-16,636,-9.3,1441,0,9.3,545,2.8,331.9
서울성북경찰서,2021-01-08,76,-15.5,-19.2,738,-10.6,1358,0,10.4,1337,2.1,312.2
서울송파경찰서,2021-01-08,269,-13.6,-17,619,-9.7,1518,0,8,251,2.9,312.2
서울수서경찰서,2021-01-08,202,-13.7,-17,644,-9.5,1508,0,7.7,315,2.2,306.6
서울영등포경찰서,2021-01-08,275,-14.1,-17.3,777.5,-10.4,1524,0,7.7,882.5,2.8,258.8
서울용산경찰서,2021-01-08,134,-14.7,-18,659,-10.7,1504,0,8.5,455,2.2,309.4
서울은평경찰서,2021-01-08,94,-13.5,-17,743,-8.5,1416,0,10.2,1321,2.8,45
서울은평경찰서,2021-01-08,94,-17.1,-22.6,802,-11.1,1509,0,6.4,1537,1.1,289.7
서울은평경찰서,2021-01-08,94,-16.1,-21.2,627.5,-10.1,1460,0,7.9,1132.5,2.1,15.5
서울종암경찰서,2021-01-08,59,-15.5,-19.2,738,-10.6,1358,0,10.4,1337,2.1,312.2
서울중랑경찰서,2021-01-08,220,-13.8,-17.4,834,-9.6,1447,0,7.3,1319,2.8,348.7
서울중부경찰서,2021-01-08,97,-16.5,-20.1,810,-12.7,1539,0,10.8,1445,3.8,300.9
서울강남경찰서,2021-01-09,270,-11.3,-15.8,741,-6.6,1523,0,8.2,1443,1.5,244.7
서울강동경찰서,2021-01-09,195,-11.8,-16.7,759,-7.2,1358,0,5.8,1616,1.2,239.1
서울강북경찰서,2021-01-09,155,-11.3,-14.9,110,-7.3,1516,0,8,1343,1.8,306.6
서울강서경찰서,2021-01-09,277,-11.7,-16.5,641,-7.3,1543,0,7.3,1422,2,323.4
서울광진경찰서,2021-01-09,208,-11.2,-15.3,418,-7.5,1328,0,7,1401,1.7,317.8
서울구로경찰서,2021-01-09,206,-11.5,-16.2,653,-6.7,1602,0,8.6,1325,1.8,312.2
서울금천경찰서,2021-01-09,152,-11.1,-14.5,756,-7.6,1622,0,6.3,1337,1.8,2.8
서울노원경찰서,2021-01-09,207,-13.9,-21.3,718,-7.2,1254,0,7.3,1336,1.2,295.3
서울도봉경찰서,2021-01-09,96,-12.8,-18.3,655,-5.7,1403,0,8.3,1333,1.2,8.4
서울동작경찰서,2021-01-09,148,-12.4,-18,771,-7,1494.5,0,7.3,1420.5,1.3,282.8
서울마포경찰서,2021-01-09,208,-11.8,-16,11,-7.5,1323,0,11.5,1708,3.1,306.6
서울서대문경찰서,2021-01-09,187,-12.8,-17.8,527,-8,1435,0,11.1,1702,1.7,307.1
서울서부경찰서,2021-01-09,114,-14.8,-21.3,643,-7.5,1606,0,6.2,1700,0.9,300.9
서울서초경찰서,2021-01-09,201,-11.4,-17.5,444,-7.8,1609,0,8.1,1431,2.1,312.2
서울성동경찰서,2021-01-09,134,-10.1,-13.4,708,-6.3,1540,0,10.2,1633,2.3,289.7
서울성북경찰서,2021-01-09,87,-13.1,-17.7,703,-7.8,1401,0,10.1,1604,1.5,205.3
서울송파경찰서,2021-01-09,279,-10.5,-14.4,750,-6.6,1523,0,8,1707,2.1,312.2
서울수서경찰서,2021-01-09,167,-11.3,-15.8,741,-6.6,1523,0,8.2,1443,1.5,244.7
서울영등포경찰서,2021-01-09,279,-11,-14.6,692.5,-7.2,1571,0,7.1,1526,1.9,295.3
서울용산경찰서,2021-01-09,157,-12,-16.1,230,-7.6,1529,0,8.1,1320,1.6,180
서울은평경찰서,2021-01-09,112,-10.6,-14.7,817,-6.2,1504,0,9.2,2005,1.8,0
서울은평경찰서,2021-01-09,112,-14.8,-21.3,643,-7.5,1606,0,6.2,1700,0.9,300.9
서울은평경찰서,2021-01-09,112,-13.8,-20.9,685.5,-7,1446,0,7.7,1334.5,1.5,178.6
서울종암경찰서,2021-01-09,68,-13.1,-17.7,703,-7.8,1401,0,10.1,1604,1.5,205.3
서울중랑경찰서,2021-01-09,285,-11.1,-15.1,806,-7.2,1531,0,7.3,1640,1.8,298.1
서울중부경찰서,2021-01-09,113,-13.2,-17.1,554,-9.3,1510,0,11.9,1634,2.8,298.7
서울강남경찰서,2021-01-10,212,-8,-14.5,725,-2.4,1443,0,4.6,10,0.8,81.6
서울강동경찰서,2021-01-10,185,-8.4,-15.1,720,-3.5,1534,0,4.5,1408,0.9,61.9
서울강북경찰서,2021-01-10,136,-7.4,-13.1,741,-3.1,1434,0,4.8,1625,1.1,19.7
서울강서경찰서,2021-01-10,215,-7.8,-14.5,603,-3.1,1421,0,4.2,2320,1,320.6
서울광진경찰서,2021-01-10,129,-7.8,-13.2,744,-3.7,1609,0,3.4,2342,0.9,247.5
서울구로경찰서,2021-01-10,135,-7.3,-13.9,652,-2.2,1305,0,5.8,1513,1,312.2
서울금천경찰서,2021-01-10,135,-7.2,-12.4,807,-2.7,1421,0,3.5,1533,1.1,357.2
서울노원경찰서,2021-01-10,189,-10.1,-18.8,517,-2.9,1551,0,4.2,1017,0.8,67.5
서울도봉경찰서,2021-01-10,117,-8.9,-16.1,708,-1.2,1410,0,3.7,1221,0.7,140.6
서울동작경찰서,2021-01-10,125,-8.2,-15,623,-2,1442.5,0,3.5,1410,0.7,21.1
서울마포경찰서,2021-01-10,174,-7.1,-11.9,12,-2.9,1431,0,5.3,1110,1.2,129.4
서울서대문경찰서,2021-01-10,152,-8.5,-13.5,1,-2.7,1429,0,5.1,1054,0.7,151.1
서울서부경찰서,2021-01-10,60,-10.5,-18.3,703,-2.9,1336,0,3.4,1102,0.4,205.3
서울서초경찰서,2021-01-10,126,-8.6,-15.4,516,-3.1,1514,0,3.2,1006,1.1,137.8
서울성동경찰서,2021-01-10,127,-6.3,-11,727,-2.8,1511,0,6.8,0,1.1,326.3
서울성북경찰서,2021-01-10,88,-9.4,-14.9,750,-4.7,1358,0,5.4,2343,0.9,323.4
서울송파경찰서,2021-01-10,215,-6.7,-11.9,815,-2.8,1522,0,3.5,1011,1.2,118.1
서울수서경찰서,2021-01-10,125,-8,-14.5,725,-2.4,1443,0,4.6,10,0.8,81.6
서울영등포경찰서,2021-01-10,230,-6.7,-11.1,615.5,-3,1531.5,0,4.5,1689.5,1,185.7
서울용산경찰서,2021-01-10,127,-8.2,-14.2,757,-4,1443,0,4.3,1103,1,33.8
서울은평경찰서,2021-01-10,89,-6.8,-12.6,808,-2.2,1628,0,3.5,2136,0.8,244.7
서울은평경찰서,2021-01-10,89,-10.5,-18.3,703,-2.9,1336,0,3.4,1102,0.4,205.3
서울은평경찰서,2021-01-10,89,-9.3,-16.4,575,-3.1,1315,0,3.8,1284.5,1.4,226.5
서울종암경찰서,2021-01-10,55,-9.4,-14.9,750,-4.7,1358,0,5.4,2343,0.9,323.4
서울중랑경찰서,2021-01-10,228,-7.4,-13.1,809,-3.3,1434,0,3.7,1645,1,312.2
