No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2022","해양수산부","교통시설특별회계","광양항 개발","1,098",21,193,398,421,425,713,716,722,779,785,855,"1,088"
"2","2022","해양수산부","교통시설특별회계","그린포트 구축","1,497",485,563,691,808,826,936,958,893,"1,017","1,033","1,131","1,326"
"3","2022","해양수산부","교통시설특별회계","부산항 신항만 개발","1,113",436,469,654,681,796,907,908,917,917,924,929,"1,033"
"4","2022","해양수산부","교통시설특별회계","새만금신항 개발","1,043",25,73,480,485,507,661,664,664,755,770,820,"1,045"
"5","2022","해양수산부","교통시설특별회계","울산신항 개발","1,697",111,359,962,"1,022","1,083","1,280","1,286","1,321","1,386","1,418","1,443","1,675"
"6","2022","해양수산부","교통시설특별회계","인천신항 개발",534,0,49,311,311,311,342,342,342,388,395,404,619
"7","2022","해양수산부","교통시설특별회계","일반항 건설","1,317",44,95,311,344,406,579,582,597,660,682,716,978
"8","2022","해양수산부","교통시설특별회계","주요항 건설",965,33,134,222,245,330,547,551,574,616,661,686,869
"9","2022","해양수산부","교통시설특별회계","평택당진항 개발",553,61,203,219,233,271,321,330,336,364,375,394,535
"10","2022","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",568,91,107,258,270,328,415,428,441,456,474,501,558
"11","2022","해양수산부","교통시설특별회계","항만 재개발",806,88,244,408,416,435,481,493,502,525,545,557,636
"12","2022","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,366",139,280,354,427,490,695,711,779,829,856,943,"1,220"
"13","2022","해양수산부","국가균형발전특별회계","해양 및 수자원 관리",537,34,123,376,376,476,531,532,537,537,537,537,537
"14","2022","해양수산부","농어촌구조개선특별회계","수산연구개발",591,26,209,509,578,578,578,591,591,591,591,591,591
"15","2022","해양수산부","농어촌구조개선특별회계","수산자원조성",928,93,401,594,595,660,739,748,750,792,821,822,897
"16","2022","해양수산부","농어촌구조개선특별회계","어가소득보전",577,0,2,123,123,269,300,300,364,406,408,462,481
"17","2022","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","8,387",685,"1,702","2,432","2,583","2,736","5,246","5,345","5,498","5,766","7,104","7,195","7,801"
"18","2022","해양수산부","농어촌구조개선특별회계","연근해어업구조조정","1,214",0,122,125,125,127,688,766,921,922,"1,145","1,211","1,212"
"19","2022","해양수산부","농어촌구조개선특별회계","재해대책","1,478",200,367,551,789,876,"1,064","1,118","1,408","1,408","1,409","1,409","1,442"
"20","2022","해양수산부","농어촌구조개선특별회계","친환경양식육성(농특)","1,206",0,46,575,687,915,992,"1,002","1,014","1,053","1,077","1,082","1,142"
"21","2022","해양수산부","일반회계","어업안전지도강화","2,068",57,267,310,601,715,"1,223","1,339","1,361","1,503","1,588","1,606","1,769"
"22","2022","해양수산부","일반회계","연안환경관리(일반)",624,45,112,225,240,290,328,333,344,380,417,443,537
"23","2022","해양수산부","일반회계","한국해양과학기술원 운영지원","1,528",71,316,612,612,"1,095","1,250","1,343","1,362","1,427","1,427","1,528","1,528"
"24","2022","해양수산부","일반회계","해양문화활성화",884,256,269,333,418,450,491,513,527,584,619,647,751
"25","2022","해양수산부","일반회계","해양수산산업진흥(R&D)",642,215,396,545,545,642,642,642,642,642,642,642,642
"26","2022","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)",824,203,231,306,323,397,608,612,709,711,744,746,776
"27","2022","해양수산부","일반회계","해양지형조사 및 정보제공",844,48,61,324,439,493,528,532,569,591,592,613,767
"28","2022","해양수산부","일반회계","해운물류지원",889,0,51,105,127,203,226,231,281,386,721,734,824
"29","2022","해양수산부","일반회계","해운인력양성 지원",545,57,143,430,434,438,451,455,460,469,470,470,472
"30","2022","해양수산부","수산발전기금","수산물가격안정(기금·융자)",659,0,0,82,201,246,442,439,474,498,533,589,659
"31","2022","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,187",40,40,631,723,735,951,928,933,983,"1,025","1,078","1,187"
"32","2022","해양수산부","수산발전기금","품목별경쟁력강화","1,324",0,0,192,449,582,772,893,"1,046","1,103","1,103","1,221","1,322"
