No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2017","해양수산부","교통시설특별회계","부산항 신항만 개발","2,274",5,222,589,666,744,786,806,846,962,975,"1,248","1,551"
"2","2017","해양수산부","교통시설특별회계","울산신항 개발","1,530",215,284,496,527,564,607,712,738,765,836,"1,139","1,441"
"3","2017","해양수산부","교통시설특별회계","인천북항 개발",599,12,17,137,158,215,215,216,219,254,255,554,609
"4","2017","해양수산부","교통시설특별회계","일반항 건설","4,115",187,367,850,993,"1,150","1,505","1,616","1,804","2,194","2,386","2,705","3,495"
"5","2017","해양수산부","교통시설특별회계","주요항 건설","1,306",16,230,358,477,568,608,634,664,752,766,809,"1,240"
"6","2017","해양수산부","교통시설특별회계","평택당진항 개발",723,8,45,60,98,138,175,187,213,259,267,309,380
"7","2017","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",658,18,81,135,198,250,375,393,408,445,458,486,617
"8","2017","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,989",20,64,159,260,364,471,552,603,724,806,915,"1,280"
"9","2017","해양수산부","농어촌구조개선특별회계","수산금융자금이차보전",855,64,130,190,261,327,397,466,515,608,681,757,855
"10","2017","해양수산부","농어촌구조개선특별회계","수산자원조성",814,52,293,300,464,466,474,636,637,639,799,801,806
"11","2017","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","2,741",12,157,680,920,"1,196","1,446","1,534","1,624","1,843","1,873","2,013","2,575"
"12","2017","해양수산부","농어촌구조개선특별회계","재해대책","1,344",0,591,591,950,951,951,"1,343","1,343","1,343","1,343","1,343","1,371"
"13","2017","해양수산부","농어촌구조개선특별회계","친환경어업(농특)",753,3,69,294,308,402,424,441,459,547,603,647,727
"14","2017","해양수산부","일반회계","어업질서 확립","1,652",27,95,342,500,740,758,830,880,963,979,"1,068","1,339"
"15","2017","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)",896,251,462,696,896,896,896,896,896,896,896,896,896
"16","2017","해양수산부","일반회계","연안환경관리(일반)",715,19,95,157,194,231,310,318,342,440,460,504,657
"17","2017","해양수산부","일반회계","한국해양과학기술원 운영지원","1,526",472,472,472,886,886,886,"1,207","1,207","1,207","1,524","1,524","1,524"
"18","2017","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)",896,49,282,382,445,473,875,944,"1,027","1,055","1,112","1,151","1,604"
"19","2017","해양수산부","일반회계","해양지형조사 및 정보제공",825,32,56,244,345,371,436,461,490,512,531,587,745
"20","2017","해양수산부","일반회계","해운물류지원",743,0,32,363,389,403,440,462,485,521,569,618,694
"21","2017","해양수산부","지역발전특별회계","어업기반정비","1,420",0,323,523,633,633,780,"1,030","1,030","1,070","1,252","1,420","1,420"
"22","2017","해양수산부","지역발전특별회계","일반항 건설(제주도)",599,0,419,419,599,599,599,599,599,599,599,599,599
"23","2017","해양수산부","지역발전특별회계","해양 및 수자원 관리",682,0,170,270,330,330,425,520,520,575,624,682,682
"24","2017","해양수산부","수산발전기금","수산물가격안정(기금·융자)","2,169",0,0,322,611,867,981,"1,050","1,253","1,623","1,653","1,910","2,165"
"25","2017","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,300",2,52,440,510,537,653,663,692,969,977,986,"1,238"
"26","2017","해양수산부","수산발전기금","어업경영자금(기금)",771,0,100,365,428,432,690,705,710,710,718,729,743
