"자치구별(1)",자치구별(2),2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력
"자치구별(1)",자치구별(2),발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생
"합계",소계,136051,167,1399,1522,36029,96934,154928,203,1874,1631,52237,98983,147340,169,2134,1481,61709,81847,144732,175,2840,2100,57707,81910,121427,228,1661,2977,36196,80365,113382,219,1481,2913,33960,74809,104848,199,1200,3480,29246,70723,108644,219,1076,3388,29962,73999,107771,221,948,3421,28894,74287,115752,250,1510,3758,37167,73067,124447,294,1029,4939,49387,68798,132939,258,956,5252,54412,72061,137725,179,570,4908,61436,70632,132966,152,420,5387,61585,65422,130674,158,343,5462,59393,65318,126401,163,276,5449,55307,65206,117839,148,262,6002,46857,64570,107835,142,169,6963,41162,59399,101948,143,143,6412,39175,56075,103668,136,136,6469,42204,54723,92679,141,138,5763,38293,48344,80445,124,122,4911,33531,41757,90399,104,117,5816,37579,46783
"합계",종로구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5021,3,12,226,2272,2508,4705,6,11,211,2184,2293,4459,6,12,238,1940,2263,4057,7,10,253,1644,2143,3690,6,3,236,1483,1962,3846,4,7,238,1515,2082,3102,9,7,192,1183,1711,2712,6,4,156,1079,1467,3138,2,8,228,1313,1587
"합계",중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5231,6,13,221,2576,2415,4954,3,9,170,2548,2224,4584,3,8,198,2150,2225,4184,1,9,267,1846,2061,4030,2,11,207,1855,1955,4327,2,6,195,2202,1922,3411,2,5,186,1642,1576,2861,6,6,161,1279,1409,3071,1,5,194,1365,1506
"합계",용산구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3799,1,7,213,1560,2018,3820,5,14,194,1557,2050,4137,4,9,251,1489,2384,4060,1,5,327,1346,2381,3411,1,3,331,1096,1980,3313,3,3,272,999,2036,2969,5,6,230,1111,1617,2381,3,1,141,945,1291,2967,5,7,280,978,1697
"합계",성동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3582,1,5,141,1753,1682,3358,4,9,126,1607,1612,3026,4,3,104,1296,1619,2767,1,3,132,1072,1559,2457,2,5,126,999,1325,2512,6,9,133,970,1394,2362,5,3,115,1016,1223,2112,3,4,110,905,1090,2194,2,2,125,979,1086
"합계",광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6268,8,16,249,3167,2828,5909,4,14,240,3026,2625,5322,4,11,279,2636,2392,4646,6,13,261,2220,2146,3915,7,2,229,1769,1908,4011,4,6,273,1875,1853,3601,2,4,255,1664,1676,3087,5,4,208,1414,1456,3619,6,-,230,1670,1713
"합계",동대문구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4363,12,13,141,1809,2388,4720,5,13,173,1981,2548,4787,5,10,190,1940,2642,3975,11,3,165,1547,2249,3680,2,5,145,1447,2081,3692,6,10,168,1531,1977,3401,10,6,161,1440,1784,2959,3,7,169,1240,1540,3253,4,2,125,1556,1566
